timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2021-02-28,46103.67000000,46638.46000000,43000.00000000,45135.66000000,46103.67000000,46638.46000000,43000.00000000,45135.66000000,83055.36904200,83055.36904200
2021-02-26,47073.73000000,48424.11000000,44106.78000000,46276.87000000,47073.73000000,48424.11000000,44106.78000000,46276.87000000,109423.20066300,109423.20066300
2021-02-24,48891.00000000,51374.99000000,46988.69000000,49676.20000000,48891.00000000,51374.99000000,46988.69000000,49676.20000000,91881.20925200,91881.20925200
2021-02-22,57412.35000000,57508.47000000,47622.00000000,54087.67000000,57412.35000000,57508.47000000,47622.00000000,54087.67000000,134019.43494400,134019.43494400
2021-02-20,55906.00000000,57700.46000000,53863.93000000,55841.19000000,55906.00000000,57700.46000000,53863.93000000,55841.19000000,80948.20531400,80948.20531400
2021-02-18,52117.67000000,52530.00000000,50901.90000000,51552.60000000,52117.67000000,52530.00000000,50901.90000000,51552.60000000,60758.04695400,60758.04695400
2021-02-16,47911.10000000,50689.18000000,47003.62000000,49133.45000000,47911.10000000,50689.18000000,47003.62000000,49133.45000000,88813.26629800,88813.26629800
2021-02-14,47156.78000000,49707.43000000,47014.17000000,48577.79000000,47156.78000000,49707.43000000,47014.17000000,48577.79000000,73735.47553300,73735.47553300
2021-02-12,47968.66000000,48985.80000000,46125.00000000,47287.60000000,47968.66000000,48985.80000000,46125.00000000,47287.60000000,85870.03569700,85870.03569700
2021-02-10,46420.42000000,47310.00000000,43727.00000000,44807.58000000,46420.42000000,47310.00000000,43727.00000000,44807.58000000,97154.18220000,97154.18220000
2021-02-08,38795.69000000,46794.45000000,37988.89000000,46374.87000000,38795.69000000,46794.45000000,37988.89000000,46374.87000000,138597.53691400,138597.53691400
2021-02-06,38289.32000000,40955.51000000,38215.94000000,39186.94000000,38289.32000000,40955.51000000,38215.94000000,39186.94000000,98757.31118300,98757.31118300
2021-02-04,37620.26000000,38708.27000000,36161.95000000,36936.66000000,37620.26000000,38708.27000000,36161.95000000,36936.66000000,92080.73589800,92080.73589800
2021-02-02,33517.09000000,35984.33000000,33418.00000000,35466.24000000,33517.09000000,35984.33000000,33418.00000000,35466.24000000,78056.65988000,78056.65988000
2021-01-31,34262.89000000,34342.69000000,32171.67000000,33092.98000000,34262.89000000,34342.69000000,32171.67000000,33092.98000000,68742.28038400,68742.28038400
2021-01-29,33368.18000000,38531.90000000,31915.40000000,34252.20000000,33368.18000000,38531.90000000,31915.40000000,34252.20000000,231827.00562600,231827.00562600
2021-01-27,32464.01000000,32557.29000000,29241.72000000,30366.15000000,32464.01000000,32557.29000000,29241.72000000,30366.15000000,95911.96171100,95911.96171100
2021-01-25,32259.45000000,34875.00000000,31910.00000000,32254.20000000,32259.45000000,34875.00000000,31910.00000000,32254.20000000,88499.22692100,88499.22692100
2021-01-23,32950.00000000,33456.00000000,31390.16000000,32078.00000000,32950.00000000,33456.00000000,31390.16000000,32078.00000000,64595.28767500,64595.28767500
2021-01-21,35468.23000000,35600.00000000,30071.00000000,30850.13000000,35468.23000000,35600.00000000,30071.00000000,30850.13000000,131803.18292600,131803.18292600
2021-01-19,36622.46000000,37850.00000000,35844.06000000,35891.49000000,36622.46000000,37850.00000000,35844.06000000,35891.49000000,79611.30776900,79611.30776900
2021-01-17,35994.98000000,36852.50000000,33850.00000000,35828.61000000,35994.98000000,36852.50000000,33850.00000000,35828.61000000,80157.72738400,80157.72738400
2021-01-15,39145.21000000,39747.76000000,34408.00000000,36742.22000000,39145.21000000,39747.76000000,34408.00000000,36742.22000000,118300.92091600,118300.92091600
2021-01-13,34049.15000000,37850.00000000,32380.00000000,37371.38000000,34049.15000000,37850.00000000,32380.00000000,37371.38000000,124477.91493800,124477.91493800
2021-01-11,38150.02000000,38264.74000000,30420.00000000,35404.47000000,38150.02000000,38264.74000000,30420.00000000,35404.47000000,249131.53994300,249131.53994300
2021-01-09,40586.96000000,41380.00000000,38720.00000000,40088.22000000,40586.96000000,41380.00000000,38720.00000000,40088.22000000,75785.97967500,75785.97967500
2021-01-07,36769.36000000,40365.00000000,36300.00000000,39432.28000000,36769.36000000,40365.00000000,36300.00000000,39432.28000000,132825.70043700,132825.70043700
2021-01-05,31989.75000000,34360.00000000,29900.00000000,33949.53000000,31989.75000000,34360.00000000,29900.00000000,33949.53000000,116049.99703800,116049.99703800
2021-01-03,32176.45000000,34778.11000000,31962.99000000,33000.05000000,32176.45000000,34778.11000000,31962.99000000,33000.05000000,120957.56675000,120957.56675000
2021-01-01,28923.63000000,29600.00000000,28624.57000000,29331.69000000,28923.63000000,29600.00000000,28624.57000000,29331.69000000,54182.92501100,54182.92501100
2020-12-30,27385.00000000,28996.00000000,27320.00000000,28875.54000000,27385.00000000,28996.00000000,27320.00000000,28875.54000000,95356.05782600,95356.05782600
2020-12-28,26281.54000000,27500.00000000,26101.00000000,27079.41000000,26281.54000000,27500.00000000,26101.00000000,27079.41000000,79721.74249600,79721.74249600
